CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,OPERADOR,PROVEEDOR,ENTIDAD PEQUEÑA,ÁMBITO GEOGRÁFICO,DEROGACIÓN,TIPO DE LICENCIA,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0232,95980020140005184148,"Banco Inversis, S.A.","Av de la Hispanidad, 6, 28042, Madrid",No,Sí,No,,No,Implícito,"0232"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0186,2138001YBO7CJNQOEE37,"Banco Mediolanum, S.A.","CL BARCAS, 10, 46002, VALENCIA",No,Sí,No,,No,Implícito,"0186"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES0121,95980020140005816006,"Banco Occidental, S.A.","Cl Azul, 4, 28050, Madrid",No,Sí,Sí,,No,Implícito,"0121"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES0235,95980020140005952097,"Banco Pichincha España, S.A..","Cl Lagasca, 4, 28001, Madrid",No,Sí,No,,No,Implícito,"0235"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1509,,"Banco Primus, S.A., Sucursal en España","Av del Partenón, 10, 28042, Madrid",No,Sí,Sí,,No,Implícito,"1509"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES0049,5493006QMFDDMYWIAM13,"Banco Santander, S.A.","Ps de Pereda, 9-12, 39004, Santander",No,Sí,No,,No,Implícito,"0049"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1574,,"Bank Julius Baer Europe, S.A, Sucursal en España","PS DE LA CASTELLANA, 7, 28046, MADRID",No,Sí,Sí,,No,Implícito,"1574"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES0219,959800VHSP2QBPNRF210,"Bank of Africa Europe, S.A.","Cl Serrano, 59, 28006, Madrid",No,Sí,No,,No,Implícito,"0219"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES1485,,"Bank of America Europe DAC, Sucursal en España","Cl Marqués de Villamagna, 3, 28020, Madrid",No,Sí,No,,No,Implícito,"1485"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES1488,,"BANK PICTET & CIE (EUROPE) AG SUCURSAL EN ESPAÑA","CL ORTEGA Y GASSET, 29, 28006, MADRID",No,Sí,No,,No,Implícito,"1488"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES8832,5493001G6G8EOXRVRM56,"Bankinter Consumer Finance, E.F.C., S.A.","AV DE BRUSELAS, 12, 28108, ALCOBENDAS",No,Sí,No,,No,Implícito,"8832"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES0128,VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.","Ps de la Castellana 29, 28046, Madrid",No,Sí,No,,No,Implícito,"0128"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
