CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,OPERADOR,PROVEEDOR,ENTIDAD PEQUEÑA,ÁMBITO GEOGRÁFICO,DEROGACIÓN,TIPO DE LICENCIA,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES1499,,"Claas Financial Services, S.A.S., Sucursal en España","PS DE LOS MELANCÓLICOS, 14, 28005, MADRID",No,Sí,Sí,,No,Implícito,"1499"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1546,,"CNH Industrial Capital Europe, S.A.S., Sucursal en España","PS DE LOS MELANCÓLICOS, 14, 28005, MADRID",No,Sí,Sí,,No,Implícito,"1546"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1543,959800N5JHERKXV3TU05,"Cofidis, S.A. Sucursal en España","PZ DE LA PAU, SN, 08940, CORNELLA DE LLOBREGAT",No,Sí,No,,No,Implícito,"1543"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES2056,95980020140006025332,"Colonya - Caixa D'estalvis de Pollensa","PZ MAYOR, 7, 07460, POLLENÇA",No,Sí,No,,No,Implícito,"2056"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESB65466997,959800AXXRBEBSW7Z026,"COMERCIA GLOBAL PAYMENTS, ENTIDAD DE PAGO, S.L.","AVDA DE MANOTERAS, 20, 28050, MADRID",No,Sí,No,,No,Explícito,"6802"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESB67016634,95980011BDJUHG0MCP89,"COMMERCEGATE PAYMENT SOLUTIONS, SOCIEDAD LIMITADA","CALLE MOLL S/N, ED. WORLD TRADE CENTER, ED. NORTE, 08039, BARCELONA",No,Sí,No,,No,Explícito,"6896"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0159,,"Commerzbank Aktiengesellschaft, Sucursal en España","Ps de la Castellana 259, pl 32, 28046, Madrid",No,Sí,No,,No,Implícito,"0159"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESW0255059H,,"CONVERA EUROPE SA SUCURSAL EN ESPAÑA","CL MARQUÉS DE LA ENSENADA, 14, 28004, MADRID",No,Sí,No,,No,Explícito,"6930"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES1459,,"Cooperatieve Rabobank U.A., Sucursal en España","Cl Rafael Calvo, 39, 28010, Madrid",No,Sí,Sí,,No,Implícito,"1459"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESA88147053,95980081PQB9YPX7XZ48,"CREDIT AGRICOLE CONSUMER FINANCE SPAIN, EFC, S.A.","AV. MANOTERAS, 44, 28050, MADRID",No,Sí,Sí,,No,Implícito,"8841"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES0154,,"Crédit Agricole Corporate and Investment Bank, Sucursal en España","Ps de la Castellana , 1, 28046, Madrid",No,Sí,No,,No,Implícito,"0154"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES1472,,"Crédit Agricole Leasing & Factoring, Sucursal en España","Ps de la Castellana, 1, 28046, Madrid",No,Sí,Sí,,No,Implícito,"1472"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES1555,,"Crédit Mutuel Leasing, Sucursal en España","PS DE LA CASTELLANA, 42, 28046, MADRID",No,Sí,Sí,,No,Implícito,"1555"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES6716,959800QLWRN53GRZD457,"Currencies Direct Spain, EDE, SL","AV DEL MEDITERRANEO 341, 04638, MOJACAR",No,Sí,No,,No,Explícito,"6716"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESB10503928,959800HXXJNZXQ2YF410,"DAPOLMAR, SOCIEDAD LIMITADA","RUA DE LOS PAÑOS, 11, 10800, CORIA",No,Sí,No,,Sí,Explícito,"6910"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES1457,,"De Lage Landen International B.V., Sucursal en España","CL  JOSE BARDASANO BAOS, 9, 28016, MADRID",No,Sí,Sí,,No,Implícito,"1457"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES1548,,"Dell Bank International Designated Activity Company, Sucursal en España","Cl Ribera del Loira, 8, 28042, Madrid",No,Sí,Sí,,No,Implícito,"1548"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0145,,"Deutsche Bank, A.G., Sucursal en España","Ps de la Castellana, 18, 28046, Madrid",No,Sí,Sí,,No,Implícito,"0145"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0019,529900SICIK5OVMVY186,"Deutsche Bank, Sociedad Anónima Española","Ps de la Castellana, 18, 28046, Madrid",No,Sí,No,,No,Implícito,"0019"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1501,,"Deutsche Pfandbriefbank AG, Sucursal en España","Cl Montesquinza, 30, 28010, Madrid",No,Sí,Sí,,No,Implícito,"1501"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESB88353412,9598005SV2PT14MZW468,"DEVENGO SL","CL BARQUILLO, 40, 28004, MADRID",No,Sí,Sí,,No,Explícito,"6940"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA42846287,529900F46FEODQANLY60,"DIGITAL VIRGO E.P. S.A.U.","CL JUAN IGNACIO LUCA DE TENA, 1, 28027, MADRID",No,Sí,Sí,,No,Explícito,"6916"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESA28007813,959800JZ1Z5WU1D3D281,"DINERS CLUB SPAIN, S.A.","CL DE LAS ABELIAS, 1, 28042, MADRID",No,Sí,No,,No,Explícito,"6821"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESB88581129,959800YQUKGU2GU5TK82,"DIVILO FINTECH, S.L","CL PRADILLO, 42, 28003, MADRID",No,Sí,No,,No,Explícito,"6905"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESA85785905,959800T1K23GYSF5QD36,"EASY PAYMENT AND FINANCE, EP, S.A.","CL GRAN VIA, 51 6 C, 28013, MADRID",No,Sí,No,,No,Explícito,"6849"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0211,95980020140005388333,"EBN Banco de Negocios, S.A.","Ps de Recoletos, 29, 28004, Madrid",No,Sí,No,,No,Implícito,"0211"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0174789H,,"EBURY PARTNERS BELGIUM, SUCURSAL EN ESPAÑA","PS CASTELLANA, 93, 28046, MADRID",No,Sí,No,,No,Explícito,"6889"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES1473,,"Edmond de Rothschild (Europe), Sucursal en España","Ps de la Castellana, 55, 28046, Madrid",No,Sí,Sí,,No,Implícito,"1473"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0280134H,,"EUPAGO-INSTITUI AO DE PAGAMENTO SUCURSAL EN ESPAÑA LDA","CL COSTANILLA DE LOS DESAMPARADOS, 2, 28048, MADRID",No,Sí,Sí,,No,Explícito,"6938"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESB86828845,959800QH7TBQ38KB7Y56,"EURO AUTOMATIC CASH, ENTIDAD DE PAGO, S.L.","CL VENTURA RODRÍGUEZ, 24, 28008, MADRID",No,Sí,No,,No,Explícito,"6863"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES3081,95980020140005552166,"Eurocaja Rural, Sociedad Cooperativa de Crédito","Cl Méjico, 2, 45004, Toledo",No,Sí,No,,No,Implícito,"3081"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES0218,95980089WEV4R42T3W78,"FCE Bank Plc Sucursal en España","CL CALÉNDULA, 13, 28109, ALCOBENDAS",No,Sí,Sí,,No,Implícito,"0218"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA36515864,9598004YQ1LWWNX5A071,"FENIXTRANSFERS ENTIDAD DE PAGO, S.A.","CL URZAIZ, 53 BAJO, 36201, VIGO",No,Sí,No,,No,Explícito,"6808"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES8805,95980020140005327126,"Financiera El Corte Inglés E.F.C., S.A.","CL HERMOSILLA, 112, 28009, MADRID",No,Sí,No,,No,Implícito,"8805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESW2503947J,959800297HG5GAMCHX39,"FINANCIERE DES PAIEMENTS ELECTRONIQUES SAS, SE","PS DE LOS MELANCOLICOS, 14A, 28005, MADRID",No,Sí,No,,No,Explícito,"6893"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES6726,,"FINOM PAYMENTS SUCURSAL EN ESPAÑA","PS DE LA CASTELLANA, 141, 28046, MADRID",No,Sí,Sí,,No,Explícito,"6726"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES6718,959800PSLRXWP2B4UE74,"FINPAY Entidad de Dineero Electrónico, S.A","PS DE LA CASTELLANA, 126, 28046, Madrid",No,Sí,No,,No,Explícito,"6718"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESB88568670,529900LMD13RWJ3RIO41,"FINQUIETIS HIBRIDA SL","CALLE ZURBANO, 76, PISO 1º, PUERTA 2, 28010, MADRID",No,Sí,No,,No,Explícito,"6898"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0267853J,,"FINTECTURE SAS SUCURSAL EN ESPAÑA","CL DUQUE DE SESTO, 30, 28009, MADRID",No,Sí,Sí,,No,Explícito,"6931"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESB01681790,959800CGWLYXMY1SU636,"FINTONIC AGREGACION DE CUENTAS E INICIACION DE PAGOS SL","ORENSE 12, PLANTA 1, OFICINA 1, 28020, MADRID",No,Sí,No,,No,Explícito,"6935"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES8839,959800KYA6P1XWHAFX61,"GCC Consumo, EFC, S.A","Ps de los Melancólicos, 14, 28005, Madrid",No,Sí,Sí,,No,Implícito,"8839"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES1496,,"Genefim, Sucursal en España","Pz Pablo Ruiz Picasso, 1, 28020, Madrid",No,Sí,Sí,,No,Implícito,"1496"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESB86621620,959800M2WHR46AYGBU06,"GETNET EUROPE, E.P., S.L.","CL JUAN IGNACIO LUCA DE TENA, 11-13, 28027, MADRID",No,Sí,No,,No,Explícito,"6858"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESB72897879,959800WHCBNSAKTFZ405,"GLOBAL EXCHANGE PAYMENT SOLUTIONS ENTIDAD DE PAGO  SL UNIPERSONAL","CALLE LAGUNAS DE VILLAFALFILA 90, 37008, SALAMANCA",No,Sí,No,,No,Explícito,"6943"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA86255221,959800RSRG3T9V8H6Z77,"GLOBAL MONEY EXCHANGE & TRANSFER SA","CL MESÓN DE PAREDES, 23, 28012, MADRID",No,Sí,No,,Sí,Explícito,"6915"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
